2018-01-19 19:38:18:952	00 00 00 01 00 d3 ba 9d 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:670	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:671	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:23:672	00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:24:889	00 00 00 01 00 d3 d1 ce 00 00 00 00 00 00 00 00 
2018-01-19 19:38:24:890	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:24:891	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:24:893	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:24:894	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:24:896	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:24:898	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:24:899	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:24:901	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:24:902	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:24:904	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:24:905	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:24:906	00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:24:988	00 00 00 02 00 d3 d2 32 00 00 00 00 00 00 00 00 
2018-01-19 19:38:24:990	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:24:991	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:24:993	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:24:994	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:24:996	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:24:998	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:24:999	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:001	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:002	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:004	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:005	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:006	00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:088	00 00 00 03 00 d3 d2 96 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:090	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:091	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:093	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:095	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:096	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:098	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:099	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:101	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:102	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:104	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:105	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:106	00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:188	00 00 00 04 00 d3 d2 fa 00 00 00 00 00 00 00 
2018-01-19 19:38:25:190	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:191	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:193	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:194	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:196	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:198	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:199	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:201	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:202	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:204	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:205	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:206	00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:288	00 00 00 05 00 d3 d3 5e 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:290	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:291	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:293	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:294	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:296	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:298	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:299	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:301	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:302	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:304	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:305	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:306	00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:388	00 00 00 06 00 d3 d3 c2 00 00 00 00 00 00 00 
2018-01-19 19:38:25:390	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:391	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:393	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:395	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:396	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:398	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:399	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:401	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:402	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:404	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:405	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:406	00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:488	00 00 00 07 00 d3 d4 26 00 00 00 00 00 00 00 
2018-01-19 19:38:25:490	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:491	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:493	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:494	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:496	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:25:498	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:403	00 00 00 01 00 d3 d7 b8 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:404	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:405	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:407	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:409	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:410	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:412	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:413	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:415	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:416	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:418	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:419	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:420	00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:502	00 00 00 02 00 d3 d8 1c 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:504	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:505	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:507	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:508	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:510	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:512	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:513	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:515	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:516	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:518	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:519	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:520	00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:602	00 00 00 03 00 d3 d8 80 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:604	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:605	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:607	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:608	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:610	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:612	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:613	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:615	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:616	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:618	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:619	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:620	00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:702	00 00 00 04 00 d3 d8 e4 00 00 00 00 00 00 00 
2018-01-19 19:38:26:704	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:705	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:707	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:708	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:710	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:712	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:713	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:715	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:716	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:718	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:719	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:720	00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:802	00 00 00 05 00 d3 d9 48 00 00 00 00 00 00 00 
2018-01-19 19:38:26:804	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:805	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:807	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:808	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:810	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:812	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:813	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:815	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:816	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:818	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:819	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:820	00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:902	00 00 00 06 00 d3 d9 ac 00 00 00 00 00 00 00 
2018-01-19 19:38:26:904	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:905	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:907	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:908	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:910	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:912	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:913	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:915	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:916	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:918	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:919	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:26:920	00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:002	00 00 00 07 00 d3 da 10 00 00 00 00 00 00 00 
2018-01-19 19:38:27:004	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:005	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:007	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:008	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:010	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:012	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:013	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:015	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:016	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:018	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:019	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:020	00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:102	00 00 00 08 00 d3 da 74 00 00 00 00 00 00 00 
2018-01-19 19:38:27:104	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:105	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:107	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:108	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:110	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:112	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:113	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:115	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:116	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:118	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:119	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:120	00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:202	00 00 00 09 00 d3 da d8 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:204	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:205	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:207	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:208	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:210	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:212	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:213	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:215	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:216	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:218	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:219	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:220	00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:302	00 00 00 0a 00 d3 db 3c 00 00 00 00 00 00 00 
2018-01-19 19:38:27:304	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:305	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:307	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:308	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:310	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:312	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:313	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:315	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:316	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:318	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:319	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:320	00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:402	00 00 00 0b 00 d3 db a0 00 00 00 00 00 00 00 
2018-01-19 19:38:27:404	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:405	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:407	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:408	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:410	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:412	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:413	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:415	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:416	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:418	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:419	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:27:420	00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:403	00 00 00 01 00 d3 df 88 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:404	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:405	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:407	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:409	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:410	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:412	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:413	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:415	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:416	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:418	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:419	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:420	00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:502	00 00 00 02 00 d3 df ec 00 00 00 00 00 00 00 
2018-01-19 19:38:28:504	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:505	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:507	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:509	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:510	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:512	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:513	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:515	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:516	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:518	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:519	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:520	00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:602	00 00 00 03 00 d3 e0 50 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:604	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:605	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:607	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:608	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:610	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:612	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:613	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:615	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:616	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:618	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:619	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:620	00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:702	00 00 00 04 00 d3 e0 b4 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:704	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:705	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:707	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:708	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:710	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:712	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:713	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:715	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:716	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:718	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:719	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:720	00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:802	00 00 00 05 00 d3 e1 18 00 00 00 00 00 00 00 
2018-01-19 19:38:28:804	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:805	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:807	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:809	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:810	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:812	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:813	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:815	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:816	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:818	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:819	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:820	00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:28:902	00 00 00 06 00 d3 e1 7c 00 00 00 00 00 00 00 00 
